"account_id,customer_id,branch_id,account_type,open_date,balance,status"
"A001,C001,B001,Savings,2022-01-20,295000,Active"
"A002,C002,B002,Current,2022-02-25,460000,Active"
"A003,C003,B003,Savings,2022-03-15,122500,Active"
"A004,C004,B004,Savings,2022-04-01,225000,Active"
"A005,C005,B005,Current,2022-04-15,143000,Active"
"A006,C006,B001,Savings,2022-05-23,83000,Active"
"A007,C007,B002,Salary,2022-06-12,134000,Active"
"A008,C008,B003,Savings,2022-07-05,617000,Active"
"A009,C009,B004,Current,2022-07-20,217000,Active"
"A010,C010,B005,Savings,2022-08-10,103000,Inactive"
"A011,C011,B001,Salary,2022-08-25,122000,Active"
"A012,C012,B002,Savings,2022-09-11,188000,Active"
"A013,C013,B003,Current,2022-10-03,425000,Active"
"A014,C014,B004,Savings,2022-10-22,120000,Active"
"A015,C015,B005,Salary,2022-11-08,61000,Active"
"A016,C016,B001,Savings,2022-12-01,262000,Active"
"A017,C017,B002,Current,2022-12-18,295000,Active"
"A018,C018,B003,Savings,2023-01-14,103000,Active"
"A019,C019,B004,Salary,2023-02-03,136000,Active"
"A020,C020,B005,Savings,2023-02-22,258000,Active"
"A021,C021,B001,Current,2023-03-10,630000,Active"
"A022,C022,B002,Savings,2023-03-29,128000,Active"
"A023,C023,B003,Salary,2023-04-18,76000,Active"
"A024,C024,B004,Savings,2023-05-06,172000,Active"
"A025,C025,B005,Current,2023-05-25,423000,Active"
"A026,C026,B001,Savings,2023-06-12,92000,Active"
"A027,C027,B002,Salary,2023-07-01,69000,Inactive"
"A028,C028,B003,Savings,2023-07-18,465000,Active"
"A029,C029,B004,Current,2023-08-05,133000,Active"
"A030,C030,B005,Savings,2023-08-24,88000,Active"
"A031,C031,B001,Salary,2023-09-12,92000,Active"
"A032,C032,B002,Savings,2023-10-01,196000,Active"
"A033,C033,B003,Current,2023-10-20,398000,Active"
"A034,C034,B004,Savings,2023-11-08,168000,Active"
"A035,C035,B005,Salary,2023-11-27,106000,Active"
"A036,C036,B001,Savings,2023-12-15,207000,Active"
"A037,C037,B002,Current,2024-01-03,285000,Active"
"A038,C038,B003,Savings,2024-01-22,151000,Active"
"A039,C039,B004,Salary,2024-02-10,128000,Active"
"A040,C040,B005,Savings,2024-02-29,171000,Active"
"A041,C041,B001,Current,2024-03-18,695000,Active"
"A042,C042,B002,Savings,2024-04-06,121000,Active"
"A043,C043,B003,Salary,2024-04-25,141000,Active"
"A044,C044,B004,Savings,2024-05-14,223000,Active"
"A045,C045,B005,Current,2024-06-02,267000,Active"
"A046,C046,B001,Savings,2024-06-21,103000,Inactive"
"A047,C047,B002,Salary,2024-07-10,105000,Active"
"A048,C048,B003,Savings,2024-07-29,432000,Active"
"A049,C049,B004,Current,2024-08-17,239000,Active"
"A050,C050,B005,Savings,2024-09-05,114000,Active"
"A051,C001,B001,Fixed Deposit,2023-01-10,530000,Active"
"A052,C002,B002,Savings,2023-02-14,147000,Active"
"A053,C004,B004,Fixed Deposit,2023-04-20,380000,Active"
"A054,C008,B003,Fixed Deposit,2023-06-30,715000,Active"
"A055,C011,B001,Savings,2023-08-12,123000,Active"
"A056,C013,B003,Savings,2023-09-28,222000,Active"
"A057,C016,B001,Fixed Deposit,2024-01-08,460000,Active"
"A058,C017,B002,Savings,2024-02-11,172000,Active"
"A059,C020,B005,Fixed Deposit,2024-03-16,360000,Active"
"A060,C021,B001,Savings,2024-04-19,258000,Active"
"A061,C025,B005,Savings,2024-05-23,159000,Active"
"A062,C028,B003,Fixed Deposit,2024-06-27,580000,Active"
"A063,C029,B004,Savings,2024-07-31,158000,Active"
"A064,C033,B003,Savings,2024-08-04,237000,Active"
"A065,C036,B001,Fixed Deposit,2024-09-09,500000,Active"
"A066,C037,B002,Savings,2024-10-13,193000,Active"
"A067,C041,B001,Savings,2024-11-17,470000,Active"
"A068,C044,B004,Fixed Deposit,2024-12-21,405000,Active"
"A069,C048,B003,Fixed Deposit,2025-01-25,610000,Active"
"A070,C049,B004,Savings,2025-02-28,166000,Active"
