"transaction_id,account_id,transaction_date,transaction_type,amount,transaction_mode,remarks"
"T001,A001,2026-01-05,Deposit,50000,UPI,Salary credit"
"T002,A001,2026-01-12,Withdrawal,12000,ATM,Cash withdrawal"
"T003,A001,2026-02-03,Deposit,35000,NEFT,Freelance payment"
"T004,A001,2026-03-18,Withdrawal,8000,UPI,Utility payment"
"T005,A001,2026-06-10,Deposit,45000,NEFT,Bonus credit"
"T006,A002,2026-01-08,Deposit,100000,NEFT,Business receipt"
"T007,A002,2026-01-24,Withdrawal,25000,Cheque,Supplier payment"
"T008,A002,2026-03-07,Deposit,75000,RTGS,Client payment"
"T009,A002,2026-05-16,Withdrawal,30000,UPI,Operating expense"
"T010,A002,2026-07-02,Deposit,90000,NEFT,Sales collection"
"T011,A003,2026-02-14,Deposit,25000,UPI,Salary credit"
"T012,A003,2026-03-10,Withdrawal,9000,ATM,Cash withdrawal"
"T013,A003,2026-06-22,Deposit,30000,NEFT,Project payment"
"T014,A004,2026-01-19,Deposit,60000,NEFT,Salary credit"
"T015,A004,2026-02-26,Withdrawal,15000,UPI,Rent payment"
"T016,A004,2026-04-08,Deposit,40000,Cheque,Cheque deposit"
"T017,A004,2026-06-15,Withdrawal,10000,ATM,Cash withdrawal"
"T018,A005,2026-01-11,Deposit,80000,NEFT,Business receipt"
"T019,A005,2026-02-09,Withdrawal,25000,UPI,Vendor payment"
"T020,A005,2026-04-17,Deposit,50000,RTGS,Client payment"
"T021,A006,2026-03-05,Deposit,20000,UPI,Salary credit"
"T022,A006,2026-05-28,Withdrawal,7000,ATM,Cash withdrawal"
"T023,A007,2026-01-30,Deposit,45000,NEFT,Salary credit"
"T024,A007,2026-02-28,Withdrawal,18000,UPI,EMI payment"
"T025,A007,2026-06-01,Deposit,45000,NEFT,Salary credit"
"T026,A008,2026-01-03,Deposit,150000,RTGS,Investment maturity"
"T027,A008,2026-02-15,Withdrawal,20000,UPI,Online purchase"
"T028,A008,2026-03-22,Deposit,85000,NEFT,Consulting income"
"T029,A008,2026-05-10,Withdrawal,35000,Cheque,Property expense"
"T030,A008,2026-07-20,Deposit,120000,RTGS,Investment return"
"T031,A009,2026-02-06,Deposit,70000,NEFT,Business receipt"
"T032,A009,2026-04-12,Withdrawal,28000,UPI,Vendor payment"
"T033,A009,2026-06-29,Deposit,95000,RTGS,Client payment"
"T034,A010,2025-09-15,Deposit,25000,UPI,Salary credit"
"T035,A010,2025-11-20,Withdrawal,10000,ATM,Cash withdrawal"
"T036,A011,2026-01-16,Deposit,38000,NEFT,Salary credit"
"T037,A011,2026-02-18,Withdrawal,12000,UPI,EMI payment"
"T038,A011,2026-06-16,Deposit,42000,NEFT,Salary credit"
"T039,A012,2026-03-09,Deposit,55000,NEFT,Salary credit"
"T040,A012,2026-04-21,Withdrawal,15000,UPI,Education fee"
"T041,A012,2026-07-08,Deposit,60000,NEFT,Salary credit"
"T042,A013,2026-01-07,Deposit,125000,RTGS,Business receipt"
"T043,A013,2026-02-13,Withdrawal,40000,Cheque,Supplier payment"
"T044,A013,2026-04-27,Deposit,95000,NEFT,Client payment"
"T045,A013,2026-06-12,Withdrawal,30000,UPI,Office expense"
"T046,A014,2026-01-21,Deposit,30000,UPI,Salary credit"
"T047,A014,2026-03-30,Withdrawal,12000,ATM,Cash withdrawal"
"T048,A015,2025-10-18,Deposit,35000,NEFT,Salary credit"
"T049,A015,2025-12-22,Withdrawal,15000,UPI,Personal expense"
"T050,A016,2026-02-02,Deposit,65000,NEFT,Salary credit"
"T051,A016,2026-03-14,Withdrawal,18000,UPI,Home expense"
"T052,A016,2026-05-25,Deposit,70000,NEFT,Salary credit"
"T053,A017,2026-01-25,Deposit,90000,RTGS,Business receipt"
"T054,A017,2026-03-02,Withdrawal,35000,Cheque,Supplier payment"
"T055,A017,2026-06-18,Deposit,110000,NEFT,Client payment"
"T056,A018,2026-02-20,Deposit,40000,UPI,Salary credit"
"T057,A018,2026-04-05,Withdrawal,16000,UPI,Medical expense"
"T058,A019,2026-01-31,Deposit,48000,NEFT,Salary credit"
"T059,A019,2026-02-27,Withdrawal,20000,UPI,EMI payment"
