"loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,start_date,loan_status"
"L001,C002,B002,Home Loan,3500000,8.40,2023-01-15,Active"
"L002,C005,B005,Business Loan,1200000,10.25,2023-05-10,Active"
"L003,C007,B002,Personal Loan,450000,12.50,2024-02-20,Active"
"L004,C009,B004,Vehicle Loan,800000,9.10,2023-08-05,Active"
"L005,C013,B003,Business Loan,1800000,10.75,2022-11-18,Active"
"L006,C016,B001,Home Loan,2800000,8.60,2024-01-12,Active"
"L007,C019,B004,Personal Loan,350000,13.00,2023-09-22,Closed"
"L008,C021,B001,Business Loan,2200000,10.50,2023-03-28,Active"
"L009,C025,B005,Vehicle Loan,950000,9.25,2024-06-14,Active"
"L010,C028,B003,Home Loan,4200000,8.35,2023-07-19,Active"
"L011,C033,B003,Business Loan,2500000,10.40,2024-04-03,Active"
"L012,C037,B002,Personal Loan,600000,12.75,2025-01-08,Active"
"L013,C041,B001,Home Loan,3200000,8.55,2024-10-21,Active"
"L014,C044,B004,Vehicle Loan,1100000,9.00,2025-03-11,Active"
"L015,C048,B003,Home Loan,3800000,8.45,2025-06-25,Active"
